,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
163,Bad Feeling,On The Blue Side,Dave Meniketti,1998,346693,27,0.381,0.0176,0.381,0.742,0.00256,0.0899,-5.466,0.0432,118.394,3
164,Running' Blues,Bluesheart,Miller Anderson,2013-02-22,478906,13,0.51,0.7,0.51,0.337,0.0534,0.269,-13.042,0.0302,97.118,3
165,Trading One Fool For Another - remastered,The Best Of Coco Montoya - The Alligator Records Years,Coco Montoya,2015-01-14,324047,0,0.399,0.0123,0.399,0.571,0.000605,0.0874,-7.011,0.0506,177.263,3
166,So Easy To Love You,Chicago Blues Session Volume 3,Magic Slim & The Teardrops,2015-11-11,442346,31,0.524,0.0958,0.524,0.274,0.04,0.0184,-15.177,0.0528,119.725,3
167,Mean Blues,Mean Blues,Floyd Lee Band,2001-01-01,297973,37,0.373,0.887,0.373,0.271,0.137,0.113,-10.787,0.0383,181.58,3
168,Driftin',Driftin',Louisiana Red,1999,344600,31,0.445,0.542,0.445,0.642,0.119,0.101,-6.565,0.0272,106.283,3
169,Reconsider Baby,Had to Cry Today,Joe Bonamassa,2004-08-24,411960,41,0.405,0.000261,0.405,0.654,0.125,0.0825,-6.182,0.0364,133.438,3
170,I Got A Feelin',C'Mon Down To the Delta,Lil' Dave Thompson,2002,284160,23,0.397,0.113,0.397,0.614,0.000988,0.247,-5.586,0.0411,77.539,3
171,"Tough On Me, Tough On You - remastered",The Best Of Lonnie Mack - The Alligator Records Years,Lonnie Mack,2015-01-14,253916,0,0.598,0.00601,0.598,0.405,9.14e-05,0.0901,-10.817,0.0271,115.568,4
172,Make It Rain,Make It Rain,Michael Burks,2001,419933,0,0.59,0.319,0.59,0.463,0.00295,0.0965,-7.263,0.0296,126.051,3
173,Five Long Years - Remastered,The Best Of Freddie King: The Shelter Years,Freddie King,2000-01-01,259293,34,0.546,0.448,0.546,0.424,0.00204,0.0868,-9.275,0.0409,147.8,3
174,I'm the Best Thing You Ever Had,Always & Never,JT Coldfire,2012-04-04,233440,19,0.666,0.884,0.666,0.444,0.000737,0.185,-5.107,0.0424,96.359,3
175,A World Away,The Road We're On,Sonny Landreth,2003,284280,0,0.2,0.0515,0.2,0.543,0.0158,0.146,-8.065,0.0329,194.519,3
176,Bleeding Heart,It's Time,Jimmy D. Lane,2004-10-12,628892,27,0.462,0.0188,0.462,0.534,0.0198,0.177,-10.555,0.0288,126.465,3
177,Beggin' Business,Make It Rain,Michael Burks,2001,352533,0,0.311,0.107,0.311,0.748,0.0107,0.363,-5.829,0.0646,177.649,3
178,Blues Deluxe,Blues Deluxe,Joe Bonamassa,2003,440200,55,0.499,0.0108,0.499,0.366,0.00208,0.0851,-9.566,0.0441,144.563,3
179,Why Don't You Want Me?,When A Guitar Plays The Blues,Roy Buchanan,1985,366333,0,0.466,0.109,0.466,0.572,0.000252,0.0871,-8.381,0.0476,178.594,3
180,Need Her So Bad,Everything I Need,Aynsley Lister,2006-07-06,420386,49,0.387,0.00233,0.387,0.422,0.131,0.192,-9.896,0.0317,146.274,3
181,Truth Never Lies,Blindsided,Blindside Blues Band,1994-09-06,421240,23,0.473,0.172,0.473,0.367,0.000151,0.0741,-11.184,0.0312,136.845,3
182,All The Love In The World,Cryin' Hey!,Monster Mike Welch,2006-01-01,436733,14,0.444,0.385,0.444,0.376,0.000177,0.0836,-11.154,0.045,127.631,3
183,Darker Side,Lie To Me,Jonny Lang,1997,307960,0,0.586,0.0325,0.586,0.522,0.00393,0.081,-8.671,0.0279,131.954,4
184,Ghetto Woman,Anthology,B.B. King,2014-12-08,315973,0,0.613,0.722,0.613,0.472,0.347,0.129,-10.836,0.0277,79.614,4
185,Lonely Fool,John Lyons Band,John Lyons,2008-02-01,438204,36,0.73,0.358,0.73,0.289,0.0171,0.0978,-12.337,0.0433,83.257,3
186,Still Playing The Blues,Blues Guitar Boss,Hubert Sumlin,2005-07-26,265760,32,0.534,0.287,0.534,0.174,0.0588,0.107,-19.058,0.0331,126.446,3
187,A Soul That's Been Abused,Hubert Sumlin's Blues Party,Hubert Sumlin,1987,439760,18,0.4,0.0492,0.4,0.236,0.0177,0.082,-15.854,0.0406,153.981,3
188,Greater Man,Flyin' High,Johnny Copeland,1992-01-01,280333,0,0.488,0.0349,0.488,0.301,9.7e-05,0.123,-15.202,0.0314,136.18,3
189,Blackest Day,White Sugar,Joanne Shaw Taylor,2009-01-30,497693,44,0.466,0.208,0.466,0.478,0.00526,0.389,-8.494,0.0437,143.91,3
190,More Than You Needed,Rooftops and Satellites,Colin James,2009-10-06,228560,29,0.737,0.267,0.737,0.31,0.00635,0.146,-12.166,0.0373,119.881,3
191,Nothing But Love,Suspicion,Coco Montoya,2000,302533,0,0.391,0.312,0.391,0.541,0.000592,0.217,-7.741,0.0362,137.507,3
192,Times Have Changed (feat. Al Kapone),Times Have Changed,Ronnie Baker Brooks,2017-01-20,317973,34,0.679,0.0732,0.679,0.779,0.0631,0.158,-5.184,0.0371,86.884,4
193,Too Many Myths,What's Wrong with This Picture?,Van Morrison,2003-10-21,272333,19,0.563,0.568,0.563,0.535,9.49e-05,0.0983,-5.392,0.0288,107.868,1
194,Can't Keep Going,In the Round,Laith Al-Saadi,2008-01-01,381320,14,0.651,0.55,0.651,0.476,0.000253,0.101,-8.093,0.0247,94.059,4
195,Ain't No Way,Don't Explain,"Beth Hart, Joe Bonamassa",2011-09-27,407653,0,0.285,0.22,0.285,0.302,0.0881,0.113,-11.767,0.0311,123.173,3
196,Long As I Can See The Light,Outskirts of Love,Shemekia Copeland,2015-09-11,201626,0,0.489,0.639,0.489,0.359,0.00291,0.126,-8.67,0.0476,129.008,4
197,Desert Love,Recorded By Martin Meinschäfer,Henrik Freischlader,2010-01-15,503093,18,0.38,0.211,0.38,0.346,0.0224,0.105,-7.368,0.0264,86.672,3
198,Blues for Henry,Good News,Ronnie Earl & The Broadcasters,2014-06-17,435880,0,0.376,0.245,0.376,0.614,0.516,0.239,-6.005,0.0341,138.573,3
199,Gravity,Continuum,John Mayer,2007-10-15,245826,0,0.764,0.731,0.764,0.326,0.0013,0.24,-9.883,0.0342,123.98,3
200,Lickin' Gravy,Extra Jimmies,Jimmy Thackery,2014-10-14,361333,16,0.312,0.00264,0.312,0.581,0.0686,0.0729,-11.191,0.0726,176.01,3
201,Am I Losing You,The Essential Coco Montoya,Coco Montoya,2009-10-20,401493,36,0.468,0.0141,0.468,0.723,0.0194,0.386,-5.49,0.0284,75.557,4
202,Ain't Got Nothin' but the Blues,Talk To Your Daughter,Robben Ford,1988,278960,27,0.463,0.656,0.463,0.309,7.16e-06,0.1,-13.712,0.0426,183.476,3
203,Just as I Am,The Best Female Blues Musicians of Today,Various Artists,2013-10-11,383946,0,0.559,0.404,0.559,0.542,1.06e-05,0.208,-6.523,0.0362,129.241,3
204,If This Is Love,Blues Ballads,Various Artists,2012-10-02,338266,21,0.559,0.082,0.559,0.343,0.000448,0.0799,-11.544,0.114,139.1,3
205,Reconsider Baby - Remastered,The Best Of Freddie King: The Shelter Years,Freddie King,2000-01-01,240466,21,0.455,0.509,0.455,0.437,4.38e-05,0.094,-8.863,0.0528,185.026,3
206,I Wonder,Strong Persuader,The Robert Cray Band,1986-01-01,236826,0,0.681,0.438,0.681,0.365,1.04e-05,0.116,-14.15,0.0452,162.113,3
207,Cold Cold Feeling - Live From The United Kingdom/1990,The Platinum Collection,Gary Moore,2006,438786,16,0.464,0.028,0.464,0.414,0.275,0.954,-8.009,0.0406,131.561,3
208,Crazy Sun,Crazy Sun,JT Coldfire,2011-01-03,364440,20,0.458,0.0195,0.458,0.518,0.149,0.0961,-7.864,0.0373,121.998,3
209,Ten Long Years,Riding With The King,Eric Clapton,2000-06-13,280453,54,0.678,0.266,0.678,0.551,0.00322,0.254,-7.332,0.0261,97.767,3
210,Don't Let The Door Hit You,Stomp the Floor,Arthur Adams,2009-11-17,256880,14,0.452,0.245,0.452,0.6,0.00265,0.62,-6.496,0.0622,179.364,3
211,Cold Rain,Vintage,Blues Company,1996,346906,0,0.487,0.662,0.487,0.0434,0.222,0.0962,-22.921,0.058,189.12,3
212,The House That Love Lives In,"Going Up, Going Down... The Anthology 1968-2001",Stan Webb,2004-07-27,358173,23,0.526,0.485,0.526,0.342,0.0798,0.104,-11.96,0.0391,138.46,3
213,Ain't No Sunshine,King Of The Blues,Freddie King,1995-01-01,197600,26,0.584,0.755,0.584,0.436,0.00358,0.11,-10.532,0.0461,135.696,4
214,Lucille,Anthology,B.B. King,2014-12-08,612466,0,0.504,0.783,0.504,0.553,1.39e-06,0.093,-7.338,0.0732,77.599,4
215,Your Turn To Cry,"Right Place, Wrong Time",Otis Rush,1976,220293,0,0.362,0.307,0.362,0.257,0.000255,0.096,-16.89,0.0524,181.986,3
216,Texas Flood,Texas Flood (Legacy Edition),Stevie Ray Vaughan,1983,320906,59,0.256,0.000788,0.256,0.423,0.402,0.25,-11.994,0.035,173.27,3
217,Why Do We Have to Say Goodbye,One More Bridge To Cross,Mighty Sam McClain,2003-03-15,317506,22,0.595,0.101,0.595,0.239,0.000391,0.143,-13.997,0.0292,104.151,4
218,How Unlucky Can One Man Be,You Can't Lose What You Ain't Never Had,Magic Slim,1998,433360,40,0.487,0.126,0.487,0.332,0.0013,0.0685,-15.458,0.0442,120.328,3
219,Where Can A Man Go From Here?,Hard Truth,Coco Montoya,2017-03-24,301480,0,0.51,0.304,0.51,0.478,0.00131,0.133,-7.364,0.0468,125.696,3
220,Slightly Hung Over,Rock Island Line,Blues Delight,2006-11-27,285506,46,0.666,0.717,0.666,0.4,0.000334,0.342,-7.324,0.0328,98.781,3
221,Stranger's eyes,A Part of Me,Tom Principato,2010-10-19,261013,10,0.674,0.774,0.674,0.57,0.000246,0.121,-8.036,0.0288,116.434,4
222,It's Not Easy,Soul Serenade,Gregor Hilden,2011-08-25,242573,14,0.715,0.74,0.715,0.533,0.0,0.0823,-4.749,0.0278,98.014,4
223,Rest Of The World,Transition,Steve Lukather,2013-01-18,241026,25,0.591,0.596,0.591,0.607,0.000395,0.176,-7.654,0.0407,133.86,4
224,North West Blues,The Plumber,Dave Hole,2010-12-01,476826,21,0.413,0.000617,0.413,0.558,0.246,0.495,-9.049,0.0407,82.229,4
225,Losing You,Hurricane,Danny Bryant,2013-04-19,290933,0,0.345,0.0467,0.345,0.408,0.00366,0.166,-8.508,0.0286,146.149,3
226,Come Rain or Come Shine,Riding With The King,Eric Clapton,2000-06-13,251360,41,0.374,0.523,0.374,0.396,5.15e-06,0.116,-9.214,0.0482,192.76,3
227,Way Down,NY Blues Queen,Roxy Perry,1998,321373,14,0.387,0.201,0.387,0.51,0.0,0.069,-9.243,0.0362,178.516,1
228,The Sky Is Crying - 1984 Version,Couldn't Stand The Weather (Legacy Edition),Stevie Ray Vaughan,1984,250866,48,0.248,0.0051,0.248,0.431,0.137,0.294,-11.074,0.0438,182.18,3
229,Devil Moon,Devil Moon,Lara & the Bluz Dawgz,2012-07-20,237813,15,0.703,0.702,0.703,0.479,0.00181,0.24,-9.082,0.0297,88.988,4
230,Tin Pan Alley (AKA Roughest Place in Town),Couldn't Stand The Weather (Legacy Edition),Stevie Ray Vaughan,1984,551786,57,0.576,0.546,0.576,0.0968,0.286,0.226,-19.439,0.036,113.232,3
231,I Go By Feel,Rhythm & Blues,Buddy Guy,2013-07-29,255600,29,0.37,0.187,0.37,0.808,0.187,0.431,-5.675,0.0458,179.41,4
232,Serious,Chills & Thrills,Bernard Allison,2008-02-05,329866,0,0.504,0.286,0.504,0.355,1.31e-06,0.159,-10.373,0.04,139.109,4
233,Worried Dream,The Essential,Fleetwood Mac,2007-06-01,321866,23,0.537,0.69,0.537,0.0651,2.1e-05,0.123,-14.272,0.0461,133.567,3
234,Don't Explain,Don't Explain,"Beth Hart, Joe Bonamassa",2011-09-27,274546,0,0.17,0.0889,0.17,0.377,2.42e-05,0.0905,-9.602,0.0296,71.645,4
235,Sweet Man,You Can Make It If You Try,John Primer,2014-04-24,469946,15,0.412,0.201,0.412,0.663,1.43e-05,0.898,-6.318,0.0634,182.058,3
236,Touch My Blues Away - Live,Touch My Blues Away,Jessy Martens and Band,2015-04-24,544640,35,0.311,0.0171,0.311,0.466,0.00023,0.738,-8.163,0.0367,158.661,3
237,You Keep Sayin' That You're Leavin',"Hey, Where's Your Brother?",Johnny Winter,1992-01-01,322893,16,0.302,0.009,0.302,0.592,0.0843,0.16,-9.956,0.0603,66.945,4
238,Give Me One Reason,6 String Theory,Lee Ritenour's 6 String Theory,2010-01-01,314280,0,0.483,0.21,0.483,0.807,0.0,0.31,-4.813,0.0974,166.182,4
239,Worried Down With The Blues,The Deep End Vol. 1,Gov't Mule,2001-10-23,523960,0,0.481,0.0586,0.481,0.539,0.0564,0.102,-6.666,0.0364,139.733,3
240,Tore Down House,Tore Down House,Scott Henderson,1997-03-28,457600,36,0.324,0.101,0.324,0.554,0.0715,0.0971,-6.569,0.0366,165.317,3
241,Country Girl,Eye to Eye,Ronnie Earl,1996-10-03,288240,40,0.613,0.745,0.613,0.28,0.154,0.0796,-17.901,0.041,123.533,3
242,Call Me Momma,In the Mix,Bernard Allison,2015-01-16,314733,0,0.694,0.482,0.694,0.641,0.000298,0.0817,-6.937,0.0791,84.883,4
243,Gotta Leave,Roll Away,Back Door Slam,2007-01-01,349906,13,0.456,0.602,0.456,0.536,1.59e-06,0.103,-6.042,0.0342,157.853,3
244,Too Cool for Me,Live 2014 (Nighttrain To Budapest Farewell Tour),Henrik Freischlader,2015-03-27,526253,24,0.635,0.583,0.635,0.69,0.00164,0.533,-7.085,0.0794,77.795,4
245,Drown In My Own Tears,"Living Chicago Blues, Vol. 3",Various Artists,1980,280573,0,0.626,0.425,0.626,0.375,0.000653,0.118,-16.267,0.0743,96.171,1
246,Garbage Man Blues,Generic Blues,Maurice John Vaughn,1988-01-05,323973,0,0.414,0.51,0.414,0.406,0.0134,0.0998,-12.237,0.0435,165.269,3
247,Drowning On Dry Land,Livin' The Life (Blues Reference),Jimmy Johnson,2002,337800,18,0.606,0.513,0.606,0.486,0.02,0.213,-10.527,0.0367,100.311,3
248,Learn How to Cry,Can't Go Home,King of the World,2013-04-01,329213,0,0.651,0.579,0.651,0.29,0.0123,0.115,-10.022,0.0298,116.73,4
249,Still Got The Blues,Still Got The Blues,Gary Moore,1990-01-01,370866,69,0.189,0.257,0.189,0.39,0.000152,0.122,-14.497,0.0353,169.563,3
250,Whiskey Drinkin' Blues,I Know What It's Like,"Andrew ""Jr Boy"" Jones",2012-11-22,273346,39,0.658,0.195,0.658,0.569,1.22e-05,0.281,-5.574,0.0302,119.949,3
251,"Past, Present, And Future","Past, Present, And Future",Aron Burton,1993,412306,15,0.437,0.586,0.437,0.586,0.000659,0.103,-9.266,0.0329,149.505,3
252,I Put a Spell on You,Jools Holland And Friends - Small World Big Band,Jools Holland,2001-11-19,247253,31,0.286,0.214,0.286,0.598,0.00738,0.37,-6.179,0.0364,145.773,3
253,Driftin',Blues For Greeny,Gary Moore,1995-01-01,510466,22,0.467,0.246,0.467,0.394,0.0288,0.0808,-11.958,0.0344,160.942,3
254,I Need Your Love So Bad,Miles To Go,Colin James,2018-09-21,232719,0,0.53,0.533,0.53,0.362,0.000104,0.0944,-7.772,0.0325,154.921,3
255,Gypsy Woman,Blue Highways,Colin James,2016-10-14,230335,22,0.396,0.488,0.396,0.413,0.000923,0.0868,-8.706,0.0382,171.892,3
256,Cold Day In Chicago,Lightnin' In My Pocket,Michael Dotson,2007-02-20,397240,16,0.441,0.0428,0.441,0.522,0.0266,0.168,-8.167,0.0353,183.239,3
257,I Ain't Got Nobody,Lightin' Up,Daddy MT and The Matches,2017-06-16,441106,12,0.534,0.0858,0.534,0.488,0.0365,0.202,-9.446,0.0413,120.917,3
258,Natural Thang,To the Station,Mike Onesko,1996-08-20,488133,15,0.332,0.0116,0.332,0.575,0.0147,0.118,-7.694,0.0393,145.481,3
259,No Reply,Two Sides of the Blues,Craig Erickson,1995-08-22,484333,21,0.545,0.5,0.545,0.447,0.0226,0.0885,-8.034,0.0373,131.162,3
260,Drifting,When Your Best Friend Turns Their Back On You,John Littlejohn,1992,361200,23,0.615,0.258,0.615,0.174,0.0376,0.0808,-18.565,0.0335,147.132,3
261,Bringing Home The Blues,Stumbling Blocks and Stepping Stones,Blue Stew,2000-01-01,366986,20,0.31,0.0434,0.31,0.508,0.00882,0.157,-9.285,0.0327,203.972,3
262,Your Turn to Cry,Slow Blues Chicago Style,Various Artists,2013-09-03,351160,14,0.489,0.527,0.489,0.532,0.00306,0.0437,-10.483,0.0688,185.344,3
263,You Done Me Wrong For the Last Time,Slow Blues Chicago Style,Various Artists,2013-09-03,374760,14,0.383,0.00819,0.383,0.546,0.0604,0.199,-12.275,0.048,174.316,3
264,Call It Stormy Monday,In Session,Albert King,1999-01-01,540360,36,0.375,0.625,0.375,0.608,0.0701,0.616,-9.225,0.0604,177.751,3
265,Lonely Bed,True To Yourself,Albert Cummings,2004-08-31,456946,45,0.487,0.33,0.487,0.538,0.00609,0.103,-7.429,0.0397,118.039,3
266,Love Should Never Lose,A Better Man,J.Sintoni,2012-03-09,309306,15,0.418,0.0672,0.418,0.711,0.00431,0.0789,-5.79,0.0548,154.542,3
267,I Got News For You,"Living Chicago Blues, Vol. 4",Various Artists,1980,301440,0,0.666,0.176,0.666,0.589,0.0152,0.0518,-12.052,0.0314,83.706,4
268,Ten Long Years,Steppin' Out!,AJ Crawdaddy,2020-10-08,305331,11,0.491,0.095,0.491,0.687,0.00598,0.0803,-4.536,0.033,156.079,3
269,Almost over You (feat. Jon Butcher),Deja Blues,Gary Hoey,2013-05-08,284200,16,0.348,0.000545,0.348,0.649,0.000606,0.134,-7.908,0.0308,167.653,3
270,Smile,Reaching The Cold 100,Peter Green,2003-01-01,316640,6,0.807,0.404,0.807,0.358,0.055,0.0634,-11.911,0.0305,89.953,4
271,88th Street Blues,88th Street Blues,Smokey Wilson,1995-10-31,285293,16,0.397,0.679,0.397,0.517,0.00165,0.33,-8.368,0.0471,155.273,3
272,I'll Take Care of You,Father's Day,Ronnie Earl & The Broadcasters,2015-07-17,545440,0,0.431,0.658,0.431,0.363,0.00445,0.112,-8.668,0.0274,104.222,3
273,Change My Ways,Pearl River,Mike Zito,2009-09-22,314760,22,0.621,0.246,0.621,0.56,2.1e-05,0.0785,-6.22,0.0292,92.864,4
274,Walk A Mile In My Blues,The Beautiful Lowdown,Curtis Salgado,2016-04-08,271986,0,0.652,0.0773,0.652,0.861,0.000272,0.161,-5.018,0.027,99.994,4
275,This Worrisome Feeling in My Heart,Can't Shake This Feeling,Lurrie Bell,2016-08-19,296453,21,0.481,0.84,0.481,0.462,0.624,0.105,-7.793,0.0382,84.75,3
276,Same Old Blues,Message in Blue,Dave Specter,2014-05-20,305364,13,0.618,0.366,0.618,0.63,0.00712,0.192,-4.913,0.0418,118.383,3
277,"Baby, Baby, Baby",Dancing On The Edge,Roy Buchanan,1986,267160,0,0.556,0.0349,0.556,0.43,2.4e-06,0.169,-10.402,0.0322,141.971,3
278,Have I Got Blues for You,Reunited,Snowy White,2017-10-06,302880,32,0.638,0.396,0.638,0.405,0.275,0.309,-10.484,0.0289,77.976,4
279,Nice & Warm,Smokin,Jonny Lang,2011-11-01,463240,26,0.572,0.0732,0.572,0.346,0.00728,0.148,-10.134,0.0399,134.657,3
280,In The Evening,Texas Guitar Summit,Various Artists,2010-12-07,305824,12,0.384,0.127,0.384,0.503,0.0138,0.0601,-12.109,0.0425,208.343,3
281,I've Been Down So Long,Going Back To Texas,Bob Kirkpatrick,1996-05-07,343866,19,0.534,0.149,0.534,0.446,0.0932,0.0888,-10.323,0.0261,105.606,1
282,Four in the Morning,Man on the Floor,Monti Amundson & the Blubinos,1996,331466,12,0.341,0.207,0.341,0.5,4.12e-05,0.339,-11.197,0.0557,162.642,3
283,Maxine,Relaxing Blues,Various Artists,2017-09-29,268293,0,0.557,0.316,0.557,0.317,0.000192,0.0755,-13.229,0.11,67.185,4
284,If The Shoe Was On The Other Foot,Uncut Detroit: Live Blues In The Night,Various Artists,1991,446840,13,0.44,0.586,0.44,0.784,0.000434,0.308,-3.812,0.0516,113.602,3
285,Ask Me the Time,Introducing The Blues Ambassadors,Earl Thomas,2011-03-20,319426,13,0.705,0.54,0.705,0.262,0.0,0.0899,-11.403,0.0383,110.588,4
286,Mean Feeling,Volume 1,Various Artists,2001,433866,15,0.586,0.664,0.586,0.382,0.00348,0.591,-11.698,0.0442,100.939,4
287,I Don't Have A Mother,Blues Knights-Chicago Blues Festival 1985 (Blues Reference),Byther Smith,2005,287013,15,0.456,0.513,0.456,0.465,0.117,0.102,-9.058,0.032,184.827,3
288,Better This Way,Jigsaw Heart,Eden Brent,2014-05-06,250946,30,0.487,0.716,0.487,0.248,0.00291,0.132,-9.562,0.0263,83.339,3
289,The Devil Must Be Laughing,Talk About That,John Mayall,2017-01-27,417466,31,0.621,0.13,0.621,0.583,0.139,0.148,-5.428,0.0252,74.986,4
290,Crazy World,Rise to the Grind,Garrett LeBeau,2013-05-07,301480,19,0.775,0.415,0.775,0.238,0.000969,0.127,-11.854,0.047,62.052,4
291,Too Proud,Give it Up to Love,Mighty Sam McClain,1992-10-31,276000,26,0.459,0.31,0.459,0.162,0.00226,0.0742,-17.144,0.0554,134.033,3
292,Catch Me When I Fall,Forever More,Jesse Yawn,1997,291640,13,0.621,0.061,0.621,0.619,0.00657,0.0711,-8.914,0.0317,92.336,4
293,Gemini Heart,The Lily,Layla Zoe,2013-08-30,370760,37,0.469,0.682,0.469,0.445,0.000716,0.119,-8.452,0.0286,107.865,3
294,My Woman,Night Train to Budapest,Henrik Freischlader,2013-11-29,600106,34,0.266,0.744,0.266,0.156,0.000565,0.116,-13.054,0.0368,87.214,5
295,Kiss Of Death,Midnight Blue,Tinsley Ellis,2014-01-14,425786,44,0.725,0.72,0.725,0.315,0.00259,0.0869,-8.48,0.0369,126.39,3
296,Days Like This,Days Like This,Danny Bryant's Redeyeband,2005,495266,40,0.211,7.12e-05,0.211,0.833,0.245,0.0744,-2.08,0.033,174.699,4
297,Little Secret,Black Country Communion 2,Black Country Communion,2011-06-14,419026,23,0.419,0.0389,0.419,0.704,0.0568,0.359,-6.116,0.0394,131.89,3
298,Double Trouble - Live from Madison Square Garden,Live From Madison Square Garden,Eric Clapton,2009-05-19,486133,38,0.316,0.22,0.316,0.585,0.732,0.975,-7.705,0.0407,181.084,3
299,Fine Yesterday,In My Soul,The Robert Cray Band,2014-03-28,271400,35,0.764,0.564,0.764,0.442,0.0475,0.159,-9.002,0.0292,74.229,4
300,Broke Down Dream,Rise to the Grind,Garrett LeBeau,2013-05-07,360306,33,0.671,0.493,0.671,0.217,0.00893,0.0974,-11.186,0.0587,117.815,3
301,Rather Go Blind,Out Of The Dark,Gráinne Duffy,2007-11-07,336973,20,0.4,0.652,0.4,0.329,0.0024,0.105,-10.968,0.0592,50.906,4
302,Trouble & Whiskey,Trouble & Whiskey,Sean Chambers,2017-03-17,306746,27,0.561,0.475,0.561,0.639,0.197,0.11,-5.979,0.0259,97.35,3
303,Two Years,"Living Chicago Blues, Vol. 4",Various Artists,1980,240693,0,0.554,0.411,0.554,0.592,0.0118,0.169,-11.944,0.0431,98.27,3
304,My Baby Changed,Every Second A Fool Is Born,Lucky Peterson,2011-03-14,375826,22,0.291,0.0857,0.291,0.624,0.0661,0.226,-9.084,0.0617,167.894,3
305,Before You Go,Roadhouse Rules,Lonnie Brooks,1996,366160,0,0.597,0.0222,0.597,0.446,0.0761,0.122,-13.534,0.0312,168.247,3
306,All I Want to Do Is Cry,Electra Blues,Rick Derringer,1994-08-23,609173,14,0.36,0.0645,0.36,0.615,0.0254,0.0666,-9.739,0.0442,163.989,3
307,Kold Actions,"Hot Wire 81 (feat. Richard Kirch, Sylvester Boines, Jimmy Schutte) [Blues Power]",Jimmy Dawkins,2014-01-01,437573,35,0.62,0.368,0.62,0.0827,0.051,0.0621,-20.88,0.0625,145.108,3
308,What Happened,Completely Well,B.B. King,1969-12-05,281173,27,0.387,0.631,0.387,0.484,0.385,0.0818,-8.399,0.0309,169.451,3
309,If You Love Me,Deuces Wild,B.B. King,1997-11-04,347840,41,0.468,0.0274,0.468,0.374,0.305,0.296,-8.609,0.0259,94.665,3
310,Please Don't Dog Me,Snakebite,Magic Slim & The Teardrops,2000-03-21,411266,17,0.502,0.392,0.502,0.458,0.193,0.283,-8.538,0.0384,158.749,3
311,You'll Be Sorry Someday,The Best of Peter Green Splinter Group,Peter Green,1996-01-01,393573,0,0.551,0.642,0.551,0.169,0.0035,0.0979,-17.778,0.037,150.377,3
312,Slabo Day,In the Skies,Peter Green,1979,309160,0,0.862,0.0561,0.862,0.483,0.852,0.0956,-13.547,0.0354,96.103,4
313,Trouble Ain't Far Behind,Bad for You Baby,Gary Moore,2008-09-19,579266,0,0.51,0.267,0.51,0.345,0.00583,0.0719,-6.973,0.03,128.192,3
314,Life Is Hard,Let Me In,Johnny Winter,1991-01-01,379293,37,0.4,0.334,0.4,0.496,0.182,0.218,-9.249,0.0348,168.303,3
315,Make Me Your Only One,Blue Moon,Robben Ford,2002-01-01,311093,0,0.652,0.0497,0.652,0.579,0.00291,0.154,-6.345,0.0391,122.954,3
316,Kismet,Maxwell Street,Ronnie Earl & The Broadcasters,2016-09-09,378466,0,0.385,0.724,0.385,0.604,0.00994,0.0574,-8.337,0.0391,182.849,3
317,Sensitive Kind,Eric Clapton & Friends: The Breeze - An Appreciation Of JJ Cale,Eric Clapton,2014-01-01,317320,40,0.692,0.8,0.692,0.483,0.655,0.127,-11.229,0.0246,99.989,4
318,Healing Ground,Decisions,Jim Allchin,2017-06-16,225450,19,0.564,0.583,0.564,0.546,0.00304,0.0843,-7.593,0.0271,103.96,4
319,"Shame, Shame, Shame",Ledbetter Heights,Kenny Wayne Shepherd,1995-09-15,366026,32,0.268,0.00117,0.268,0.767,0.0379,0.143,-8.33,0.0365,180.159,3
320,An Old Sweet Picture,A Hard Core Package,John Mayall,1977-01-01,240693,13,0.661,0.677,0.661,0.203,0.3,0.102,-14.555,0.0402,145.245,3
