,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
315,Can't Fake the Feeling,"Soultry, Jazzy, & Sexy",Geraldine Hunt feat. Freddie James & Rosalind aka Cheri,1999-12-27,322386,38,0.788,0.162,0.788,0.643,0.0199,0.0721,-8.125,0.107,116.404,4
316,Lady Marmalade,The Best of Disco,Various Artists,1996-11-25,235746,37,0.554,0.333,0.554,0.795,0.0,0.058,-4.883,0.0673,118.037,4
317,Jack and Jill,Raydio,Raydio,1978-05-07,275666,42,0.693,0.395,0.693,0.659,0.00485,0.133,-4.722,0.0299,106.247,4
318,Funkin' for Jamaica,The Best Year Of My Life: 1981,Various Artists,2010-04-30,233040,34,0.786,0.217,0.786,0.795,0.00205,0.0164,-10.239,0.245,110.926,4
319,Now That We Found Love,Collections,The O'Jays,2006-03-30,279746,0,0.67,0.162,0.67,0.813,0.000382,0.315,-5.064,0.0685,114.219,4
320,Jump (For My Love),Break Out,The Pointer Sisters,1983-11-06,267226,53,0.842,0.161,0.842,0.697,0.000101,0.583,-13.796,0.0654,134.533,4
321,This Is It,Disco 100,Various Artists,2009-09-25,209173,31,0.787,0.158,0.787,0.815,0.0,0.393,-6.088,0.0512,119.878,4
322,(Ooh-Wee) He's Killing Me,Disco 100,Various Artists,2009-09-25,206133,29,0.785,0.0694,0.785,0.858,0.00043,0.0553,-6.156,0.0327,110.168,4
323,You Little Trustmaker,Disco Party,Various Artists,2010-02-26,169600,29,0.785,0.215,0.785,0.7,9.21e-06,0.0793,-14.214,0.0554,125.442,4
324,Running Away,Roy Ayers - Universal Masters,Roy Ayers,2003-01-01,237533,44,0.835,0.163,0.835,0.55,3.01e-05,0.0361,-9.784,0.153,115.567,4
325,"Ghostbusters - From ""Ghostbusters""",Ghostbusters,Original Soundtrack,1984,245973,0,0.782,0.0307,0.782,0.567,0.00583,0.33,-15.478,0.0339,115.71,4
326,Pipeline,Disco 100,Various Artists,2009-09-25,237560,28,0.697,0.0292,0.697,0.684,0.00925,0.116,-9.379,0.0311,119.524,4
327,"More, More, More - Single Version",Disco Fever,Various Artists,2010-02-26,180040,30,0.666,0.0228,0.666,0.76,0.000233,0.215,-8.506,0.0367,104.244,4
328,Love Train,Collections,The O'Jays,2006-03-30,177706,0,0.731,0.272,0.731,0.691,0.0,0.576,-6.663,0.0333,122.415,4
329,Shine On,DREAM ON,George Duke,1982-09-27,312800,43,0.8,0.0176,0.8,0.77,0.0115,0.0285,-11.271,0.0415,118.832,4
330,Turn the Beat Around,More Monty,Various Artists,1998-11-04,204200,40,0.692,0.425,0.692,0.89,0.0,0.118,-7.37,0.0577,131.214,4
331,I'm in the Mood for Dancing,Altogether,The Nolans,1982,198600,52,0.451,0.373,0.451,0.73,4.4e-06,0.439,-9.828,0.0483,210.654,4
332,What Cha Gonna Do With My Lovin',Feel The Fire: The 20th Century Collection,Stephanie Mills,2011-01-01,245160,0,0.659,0.382,0.659,0.728,0.00716,0.115,-6.224,0.0443,102.522,4
333,A Simple Game,A Simple Game,Billy Ocean,2016-03-24,303400,0,0.692,0.0689,0.692,0.72,0.000121,0.232,-3.975,0.0434,109.994,4
334,You,Disco 100,Various Artists,2009-09-25,350413,27,0.699,0.184,0.699,0.89,0.0114,0.876,-5.554,0.057,125.604,4
335,Boogie Oogie Oogie,Masters Series - 70's Disco Party,Various Artists,2009-11-23,253226,32,0.741,0.1,0.741,0.609,0.00268,0.026,-14.087,0.037,126.216,4
336,Lotta Love,Nicolette,Nicolette Larson,1978,191773,52,0.646,0.159,0.646,0.406,0.00114,0.27,-15.616,0.0264,113.708,4
337,I Can't Stand the Rain,Disco Party,Various Artists,2010-02-26,185733,30,0.716,0.249,0.716,0.752,0.000449,0.19,-7.964,0.114,108.295,4
338,I Love You More,Master Of The Game,George Duke,1979,186333,37,0.748,0.295,0.748,0.564,0.00013,0.0699,-12.131,0.0322,124.296,4
339,Best Love,Disco 100,Various Artists,2009-09-25,226413,33,0.713,0.286,0.713,0.661,0.0,0.124,-7.319,0.0421,119.017,4
340,I Was Made for Dancin',The Leif Garrett Collection,Leif Garrett,1998-07-22,196440,43,0.689,0.0319,0.689,0.584,0.00275,0.327,-13.957,0.0314,127.132,4
341,It's Party Time,Disco 100,Various Artists,2009-09-25,250066,28,0.771,0.212,0.771,0.757,1.2e-05,0.285,-7.018,0.033,120.367,4
342,Holdin' Out for Love,The Definitive Collection,Angela Bofill,1999-06-15,204026,33,0.665,0.426,0.665,0.424,8.78e-05,0.0707,-14.208,0.0492,174.356,4
343,Take Good Care of Yourself,The Best Of,The Three Degrees,2009-05-04,205133,35,0.605,0.42,0.605,0.796,1.19e-05,0.417,-7.542,0.0405,120.709,4
344,Disco Nights (Rock Freak) - Single Remix,More Monty,Various Artists,1998-11-04,233266,39,0.765,0.0166,0.765,0.713,0.000642,0.0678,-8.398,0.0526,123.12,4
345,Wild Dog,The Clarke/Duke Project,Stanley Clarke,1981,209933,36,0.736,0.0909,0.736,0.604,0.809,0.102,-13.307,0.0436,91.003,4
346,What Can I Say,My Time: A Boz Scaggs Anthology (1969-1997),Boz Scaggs,1997,179533,40,0.737,0.054,0.737,0.443,0.00614,0.0673,-12.171,0.0331,115.16,4
